model,condition,scene_id,n,correct
NoMeta,Base,006249166,20,9
NoMeta,Base,006315583,57,23
NoMeta,Base,006413433,58,25
NoMeta,Base,006431503,46,21
NoMeta,Base,006443880,80,20
NoMeta,Base,006457017,69,23
NoMeta,Base,006508324,42,21
NoMeta,Base,006512375,66,28
NoMeta,Base,006528942,100,37
NoMeta,Base,006599465,82,31
NoMeta,Base,006733269,88,25
NoMeta,Base,006767147,79,34
NoMeta,Base,006822972,72,24
NoMeta,Base,006851471,61,25
NoMeta,Base,006936460,74,29
NoMeta,Base,006996816,82,26
NoMeta,Base,007024509,98,36
NoMeta,Base,007076375,43,14
NoMeta,Base,007212145,87,27
NoMeta,Base,007232498,43,18
NoMeta,Base,007278080,102,42
NoMeta,Base,007300765,61,21
NoMeta,Base,007471801,40,14
NoMeta,Base,007514324,71,23
NoMeta,Base,007585865,74,23
NoMeta,Base,007671565,76,34
NoMeta,Base,007756420,69,23
NoMeta,Base,007780102,60,23
NoMeta,Base,007784450,81,29
NoMeta,Base,007896150,84,21
NoMeta,Base,007991912,105,45
NoMeta,Base,007993799,70,26
NoMeta,Base,008006953,97,30
NoMeta,Base,008015461,60,27
NoMeta,Base,008042486,49,17
NoMeta,Base,008111392,34,18
NoMeta,Base,008147953,50,21
NoMeta,Base,008166157,32,15
NoMeta,Base,008231831,48,16
NoMeta,Base,008398120,91,26
NoMeta,Base,008412787,65,25
NoMeta,Base,008458832,79,25
NoMeta,Base,008603606,88,36
NoMeta,Base,008656441,95,23
NoMeta,Base,008760843,60,23
NoMeta,Base,008839143,63,20
NoMeta,Base,008850284,50,18
NoMeta,Base,008872583,78,40
NoMeta,Base,008912015,62,22
NoMeta,Base,008988794,30,12
NoMeta,Base,009039207,40,14
NoMeta,Base,009055777,62,22
NoMeta,Base,009129122,64,19
NoMeta,Base,009304015,52,18
NoMeta,Base,009320676,89,28
NoMeta,Base,009399980,46,22
NoMeta,Base,009469504,43,16
NoMeta,Base,009481802,90,30
NoMeta,Base,009501115,34,18
NoMeta,Base,009530324,76,28
NoMeta,Base,009539313,70,23
NoMeta,Base,009555605,33,9
NoMeta,Base,009771379,112,43
NoMeta,Base,009774483,61,25
NoMeta,Prompt,001000833,98,31
NoMeta,Prompt,001018437,79,26
NoMeta,Prompt,001082916,69,24
NoMeta,Prompt,001282585,72,30
NoMeta,Prompt,001320604,68,21
NoMeta,Prompt,001416770,35,17
NoMeta,Prompt,001544104,57,23
NoMeta,Prompt,001593463,90,28
NoMeta,Prompt,001722118,41,15
NoMeta,Prompt,001782394,81,27
NoMeta,Prompt,001863052,82,23
NoMeta,Prompt,002003262,82,25
NoMeta,Prompt,002039574,81,32
NoMeta,Prompt,002051969,19,7
NoMeta,Prompt,002079350,40,20
NoMeta,Prompt,002121102,37,13
NoMeta,Prompt,002222437,69,28
NoMeta,Prompt,002242917,65,30
NoMeta,Prompt,002335619,93,25
NoMeta,Prompt,002345590,48,19
NoMeta,Prompt,002367184,63,25
NoMeta,Prompt,002433679,81,28
NoMeta,Prompt,002440304,65,31
NoMeta,Prompt,002480472,98,31
NoMeta,Prompt,002633958,29,17
NoMeta,Prompt,002642553,66,20
NoMeta,Prompt,002721208,120,67
NoMeta,Prompt,002774969,98,38
NoMeta,Prompt,002792834,72,32
NoMeta,Prompt,002817526,45,19
NoMeta,Prompt,002867953,40,15
NoMeta,Prompt,002882594,69,18
NoMeta,Prompt,002928475,79,32
NoMeta,Prompt,002961505,84,42
NoMeta,Prompt,002971874,70,27
NoMeta,Prompt,002976873,33,11
NoMeta,Prompt,002988708,24,10
NoMeta,Prompt,003023519,80,19
NoMeta,Prompt,003034960,70,23
NoMeta,Prompt,003100313,91,30
NoMeta,Prompt,003105904,72,23
NoMeta,Prompt,003117374,87,27
NoMeta,Prompt,003171807,77,23
NoMeta,Prompt,003284067,72,32
NoMeta,Prompt,003357723,57,21
NoMeta,Prompt,003411715,55,24
NoMeta,Prompt,003471078,76,33
NoMeta,Prompt,003522924,71,27
NoMeta,Prompt,003544634,65,21
NoMeta,Prompt,003588128,21,8
NoMeta,Prompt,003619392,74,28
NoMeta,Prompt,003662992,65,22
NoMeta,Prompt,003705871,84,26
NoMeta,Prompt,003730368,66,21
NoMeta,Prompt,003897137,62,22
NoMeta,Prompt,003964199,65,23
NoMeta,Prompt,003994784,70,32
NoMeta,Prompt,004035421,72,25
NoMeta,Prompt,004071037,50,29
NoMeta,Prompt,004279963,84,30
NoMeta,Prompt,004382413,61,23
NoMeta,Prompt,004383842,114,44
NoMeta,Prompt,004578825,79,32
NoMeta,Prompt,004673817,95,40
NoMeta,Prompt,004739990,97,32
NoMeta,Prompt,004771986,50,22
NoMeta,Prompt,004786749,70,21
NoMeta,Prompt,004801460,37,13
NoMeta,Prompt,004977537,91,29
NoMeta,Prompt,005036851,35,16
NoMeta,Prompt,005107952,84,29
NoMeta,Prompt,005116728,71,16
NoMeta,Prompt,005164155,33,15
NoMeta,Prompt,005254964,45,9
NoMeta,Prompt,005280034,63,29
NoMeta,Prompt,005315054,82,20
NoMeta,Prompt,005420204,69,16
NoMeta,Prompt,005463359,32,12
NoMeta,Prompt,005536384,76,26
NoMeta,Prompt,005669396,91,28
NoMeta,Prompt,005745653,30,14
NoMeta,Prompt,005828436,35,18
NoMeta,Prompt,006018298,76,31
NoMeta,Prompt,006081651,60,24
NoMeta,Prompt,006092198,82,31
NoMeta,Prompt,006189085,71,22
NoMeta,Prompt,006249166,20,9
NoMeta,Prompt,006315583,57,22
NoMeta,Prompt,006413433,58,25
NoMeta,Prompt,006431503,46,21
NoMeta,Prompt,006443880,80,21
NoMeta,Prompt,006457017,69,23
NoMeta,Prompt,006508324,42,21
NoMeta,Prompt,006512375,66,27
NoMeta,Prompt,006528942,100,37
NoMeta,Prompt,006599465,82,31
NoMeta,Prompt,006733269,88,25
NoMeta,Prompt,006767147,79,34
NoMeta,Prompt,006822972,72,23
NoMeta,Prompt,006851471,61,24
NoMeta,Prompt,006936460,74,29
NoMeta,Prompt,006996816,82,27
NoMeta,Prompt,007024509,98,36
NoMeta,Prompt,007076375,43,13
NoMeta,Prompt,007212145,87,27
NoMeta,Prompt,007232498,43,20
NoMeta,Prompt,007278080,102,41
NoMeta,Prompt,007300765,61,21
NoMeta,Prompt,007471801,40,14
NoMeta,Prompt,007514324,71,22
NoMeta,Prompt,007585865,74,22
NoMeta,Prompt,007671565,76,35
NoMeta,Prompt,007756420,69,23
NoMeta,Prompt,007780102,60,23
NoMeta,Prompt,007784450,81,28
NoMeta,Prompt,007896150,84,21
NoMeta,Prompt,007991912,105,47
NoMeta,Prompt,007993799,70,27
NoMeta,Prompt,008006953,97,30
NoMeta,Prompt,008015461,60,27
NoMeta,Prompt,008042486,49,17
NoMeta,Prompt,008111392,34,18
NoMeta,Prompt,008147953,50,22
NoMeta,Prompt,008166157,32,15
NoMeta,Prompt,008231831,48,17
NoMeta,Prompt,008398120,91,26
NoMeta,Prompt,008412787,65,25
NoMeta,Prompt,008458832,79,25
NoMeta,Prompt,008603606,88,37
NoMeta,Prompt,008656441,95,23
NoMeta,Prompt,008760843,60,22
NoMeta,Prompt,008839143,63,20
NoMeta,Prompt,008850284,50,19
NoMeta,Prompt,008872583,78,39
NoMeta,Prompt,008912015,62,24
NoMeta,Prompt,008988794,30,12
NoMeta,Prompt,009039207,40,14
NoMeta,Prompt,009055777,62,21
NoMeta,Prompt,009129122,64,19
NoMeta,Prompt,009304015,52,17
NoMeta,Prompt,009320676,89,27
NoMeta,Prompt,009399980,46,22
NoMeta,Prompt,009469504,43,16
NoMeta,Prompt,009481802,90,30
NoMeta,Prompt,009501115,34,18
NoMeta,Prompt,009530324,76,29
NoMeta,Prompt,009539313,70,22
NoMeta,Prompt,009555605,33,10
NoMeta,Prompt,009771379,112,44
NoMeta,Prompt,009774483,61,24
NoMeta,TSCD .5,001000833,98,34
NoMeta,TSCD .5,001018437,79,26
NoMeta,TSCD .5,001082916,69,26
NoMeta,TSCD .5,001282585,72,30
NoMeta,TSCD .5,001320604,68,22
NoMeta,TSCD .5,001416770,35,17
NoMeta,TSCD .5,001544104,57,24
NoMeta,TSCD .5,001593463,90,29
NoMeta,TSCD .5,001722118,41,15
NoMeta,TSCD .5,001782394,81,28
NoMeta,TSCD .5,001863052,82,24
NoMeta,TSCD .5,002003262,82,24
NoMeta,TSCD .5,002039574,81,32
NoMeta,TSCD .5,002051969,19,8
NoMeta,TSCD .5,002079350,40,19
NoMeta,TSCD .5,002121102,37,13
NoMeta,TSCD .5,002222437,69,28
NoMeta,TSCD .5,002242917,65,31
NoMeta,TSCD .5,002335619,93,24
NoMeta,TSCD .5,002345590,48,22
NoMeta,TSCD .5,002367184,63,26
NoMeta,TSCD .5,002433679,81,27
NoMeta,TSCD .5,002440304,65,30
NoMeta,TSCD .5,002480472,98,32
NoMeta,TSCD .5,002633958,29,17
NoMeta,TSCD .5,002642553,66,20
NoMeta,TSCD .5,002721208,120,71
NoMeta,TSCD .5,002774969,98,37
NoMeta,TSCD .5,002792834,72,27
NoMeta,TSCD .5,002817526,45,20
NoMeta,TSCD .5,002867953,40,12
NoMeta,TSCD .5,002882594,69,18
NoMeta,TSCD .5,002928475,79,30
NoMeta,TSCD .5,002961505,84,41
NoMeta,TSCD .5,002971874,70,28
NoMeta,TSCD .5,002976873,33,11
NoMeta,TSCD .5,002988708,24,10
NoMeta,TSCD .5,003023519,80,19
NoMeta,TSCD .5,003034960,70,23
NoMeta,TSCD .5,003100313,91,31
NoMeta,TSCD .5,003105904,72,22
NoMeta,TSCD .5,003117374,87,26
NoMeta,TSCD .5,003171807,77,24
NoMeta,TSCD .5,003284067,72,32
NoMeta,TSCD .5,003357723,57,21
NoMeta,TSCD .5,003411715,55,25
NoMeta,TSCD .5,003471078,76,33
NoMeta,TSCD .5,003522924,71,27
NoMeta,TSCD .5,003544634,65,20
NoMeta,TSCD .5,003588128,21,8
NoMeta,TSCD .5,003619392,74,29
NoMeta,TSCD .5,003662992,65,22
NoMeta,TSCD .5,003705871,84,26
NoMeta,TSCD .5,003730368,66,21
NoMeta,TSCD .5,003897137,62,24
NoMeta,TSCD .5,003964199,65,21
NoMeta,TSCD .5,003994784,70,32
NoMeta,TSCD .5,004035421,72,25
NoMeta,TSCD .5,004071037,50,28
NoMeta,TSCD .5,004279963,84,30
NoMeta,TSCD .5,004382413,61,23
NoMeta,TSCD .5,004383842,114,46
NoMeta,TSCD .5,004578825,79,34
NoMeta,TSCD .5,004673817,95,41
NoMeta,TSCD .5,004739990,97,31
NoMeta,TSCD .5,004771986,50,22
NoMeta,TSCD .5,004786749,70,19
NoMeta,TSCD .5,004801460,37,14
NoMeta,TSCD .5,004977537,91,30
NoMeta,TSCD .5,005036851,35,16
NoMeta,TSCD .5,005107952,84,29
NoMeta,TSCD .5,005116728,71,16
NoMeta,TSCD .5,005164155,33,15
NoMeta,TSCD .5,005254964,45,8
NoMeta,TSCD .5,005280034,63,29
NoMeta,TSCD .5,005315054,82,20
NoMeta,TSCD .5,005420204,69,15
NoMeta,TSCD .5,005463359,32,11
NoMeta,TSCD .5,005536384,76,26
NoMeta,TSCD .5,005669396,91,29
NoMeta,TSCD .5,005745653,30,14
NoMeta,TSCD .5,005828436,35,19
NoMeta,TSCD .5,006018298,76,33
NoMeta,TSCD .5,006081651,60,24
NoMeta,TSCD .5,006092198,82,33
NoMeta,TSCD .5,006189085,71,21
NoMeta,TSCD .5,006249166,20,9
NoMeta,TSCD .5,006315583,57,22
NoMeta,TSCD .5,006413433,58,24
NoMeta,TSCD .5,006431503,46,20
NoMeta,TSCD .5,006443880,80,20
NoMeta,TSCD .5,006457017,69,25
NoMeta,TSCD .5,006508324,42,21
NoMeta,TSCD .5,006512375,66,27
NoMeta,TSCD .5,006528942,100,38
NoMeta,TSCD .5,006599465,82,30
NoMeta,TSCD .5,006733269,88,26
NoMeta,TSCD .5,006767147,79,34
NoMeta,TSCD .5,006822972,72,22
NoMeta,TSCD .5,006851471,61,25
NoMeta,TSCD .5,006936460,74,28
NoMeta,TSCD .5,006996816,82,27
NoMeta,TSCD .5,007024509,98,35
NoMeta,TSCD .5,007076375,43,15
NoMeta,TSCD .5,007212145,87,28
NoMeta,TSCD .5,007232498,43,19
NoMeta,TSCD .5,007278080,102,42
NoMeta,TSCD .5,007300765,61,20
NoMeta,TSCD .5,007471801,40,13
NoMeta,TSCD .5,007514324,71,21
NoMeta,TSCD .5,007585865,74,23
NoMeta,TSCD .5,007671565,76,33
NoMeta,TSCD .5,007756420,69,23
NoMeta,TSCD .5,007780102,60,23
NoMeta,TSCD .5,007784450,81,28
NoMeta,TSCD .5,007896150,84,19
NoMeta,TSCD .5,007991912,105,45
NoMeta,TSCD .5,007993799,70,26
NoMeta,TSCD .5,008006953,97,28
NoMeta,TSCD .5,008015461,60,27
NoMeta,TSCD .5,008042486,49,18
NoMeta,TSCD .5,008111392,34,19
NoMeta,TSCD .5,008147953,50,21
NoMeta,TSCD .5,008166157,32,15
NoMeta,TSCD .5,008231831,48,17
NoMeta,TSCD .5,008398120,91,27
NoMeta,TSCD .5,008412787,65,24
NoMeta,TSCD .5,008458832,79,23
NoMeta,TSCD .5,008603606,88,36
NoMeta,TSCD .5,008656441,95,23
NoMeta,TSCD .5,008760843,60,23
NoMeta,TSCD .5,008839143,63,20
NoMeta,TSCD .5,008850284,50,19
NoMeta,TSCD .5,008872583,78,39
NoMeta,TSCD .5,008912015,62,22
NoMeta,TSCD .5,008988794,30,12
NoMeta,TSCD .5,009039207,40,15
NoMeta,TSCD .5,009055777,62,21
NoMeta,TSCD .5,009129122,64,21
NoMeta,TSCD .5,009304015,52,20
NoMeta,TSCD .5,009320676,89,27
NoMeta,TSCD .5,009399980,46,23
NoMeta,TSCD .5,009469504,43,16
NoMeta,TSCD .5,009481802,90,29
NoMeta,TSCD .5,009501115,34,18
NoMeta,TSCD .5,009530324,76,31
NoMeta,TSCD .5,009539313,70,22
NoMeta,TSCD .5,009555605,33,9
NoMeta,TSCD .5,009771379,112,48
NoMeta,TSCD .5,009774483,61,24
NoMeta,TSCD 1,001000833,98,35
NoMeta,TSCD 1,001018437,79,27
NoMeta,TSCD 1,001082916,69,26
NoMeta,TSCD 1,001282585,72,30
NoMeta,TSCD 1,001320604,68,22
NoMeta,TSCD 1,001416770,35,17
NoMeta,TSCD 1,001544104,57,24
NoMeta,TSCD 1,001593463,90,29
NoMeta,TSCD 1,001722118,41,15
NoMeta,TSCD 1,001782394,81,28
NoMeta,TSCD 1,001863052,82,24
NoMeta,TSCD 1,002003262,82,24
NoMeta,TSCD 1,002039574,81,32
NoMeta,TSCD 1,002051969,19,8
NoMeta,TSCD 1,002079350,40,19
NoMeta,TSCD 1,002121102,37,13
NoMeta,TSCD 1,002222437,69,28
NoMeta,TSCD 1,002242917,65,31
NoMeta,TSCD 1,002335619,93,24
NoMeta,TSCD 1,002345590,48,22
NoMeta,TSCD 1,002367184,63,26
NoMeta,TSCD 1,002433679,81,27
NoMeta,TSCD 1,002440304,65,29
NoMeta,TSCD 1,002480472,98,32
NoMeta,TSCD 1,002633958,29,17
NoMeta,TSCD 1,002642553,66,21
NoMeta,TSCD 1,002721208,120,71
NoMeta,TSCD 1,002774969,98,37
NoMeta,TSCD 1,002792834,72,27
NoMeta,TSCD 1,002817526,45,20
NoMeta,TSCD 1,002867953,40,12
NoMeta,TSCD 1,002882594,69,18
NoMeta,TSCD 1,002928475,79,30
NoMeta,TSCD 1,002961505,84,41
NoMeta,TSCD 1,002971874,70,28
NoMeta,TSCD 1,002976873,33,10
NoMeta,TSCD 1,002988708,24,10
NoMeta,TSCD 1,003023519,80,19
NoMeta,TSCD 1,003034960,70,23
NoMeta,TSCD 1,003100313,91,31
NoMeta,TSCD 1,003105904,72,22
NoMeta,TSCD 1,003117374,87,26
NoMeta,TSCD 1,003171807,77,24
NoMeta,TSCD 1,003284067,72,32
NoMeta,TSCD 1,003357723,57,21
NoMeta,TSCD 1,003411715,55,25
NoMeta,TSCD 1,003471078,76,33
NoMeta,TSCD 1,003522924,71,27
NoMeta,TSCD 1,003544634,65,20
NoMeta,TSCD 1,003588128,21,8
NoMeta,TSCD 1,003619392,74,29
NoMeta,TSCD 1,003662992,65,23
NoMeta,TSCD 1,003705871,84,26
NoMeta,TSCD 1,003730368,66,21
NoMeta,TSCD 1,003897137,62,24
NoMeta,TSCD 1,003964199,65,21
NoMeta,TSCD 1,003994784,70,32
NoMeta,TSCD 1,004035421,72,25
NoMeta,TSCD 1,004071037,50,28
NoMeta,TSCD 1,004279963,84,29
NoMeta,TSCD 1,004382413,61,23
NoMeta,TSCD 1,004383842,114,45
NoMeta,TSCD 1,004578825,79,33
NoMeta,TSCD 1,004673817,95,41
NoMeta,TSCD 1,004739990,97,31
NoMeta,TSCD 1,004771986,50,21
NoMeta,TSCD 1,004786749,70,19
NoMeta,TSCD 1,004801460,37,14
NoMeta,TSCD 1,004977537,91,30
NoMeta,TSCD 1,005036851,35,16
NoMeta,TSCD 1,005107952,84,29
NoMeta,TSCD 1,005116728,71,16
NoMeta,TSCD 1,005164155,33,15
NoMeta,TSCD 1,005254964,45,8
NoMeta,TSCD 1,005280034,63,29
NoMeta,TSCD 1,005315054,82,20
NoMeta,TSCD 1,005420204,69,15
NoMeta,TSCD 1,005463359,32,11
NoMeta,TSCD 1,005536384,76,26
NoMeta,TSCD 1,005669396,91,29
NoMeta,TSCD 1,005745653,30,14
NoMeta,TSCD 1,005828436,35,19
NoMeta,TSCD 1,006018298,76,33
NoMeta,TSCD 1,006081651,60,24
NoMeta,TSCD 1,006092198,82,33
NoMeta,TSCD 1,006189085,71,21
NoMeta,TSCD 1,006249166,20,9
NoMeta,TSCD 1,006315583,57,22
NoMeta,TSCD 1,006413433,58,24
NoMeta,TSCD 1,006431503,46,20
NoMeta,TSCD 1,006443880,80,22
NoMeta,TSCD 1,006457017,69,25
NoMeta,TSCD 1,006508324,42,21
NoMeta,TSCD 1,006512375,66,27
NoMeta,TSCD 1,006528942,100,38
NoMeta,TSCD 1,006599465,82,30
NoMeta,TSCD 1,006733269,88,26
NoMeta,TSCD 1,006767147,79,34
NoMeta,TSCD 1,006822972,72,22
NoMeta,TSCD 1,006851471,61,25
NoMeta,TSCD 1,006936460,74,28
NoMeta,TSCD 1,006996816,82,27
NoMeta,TSCD 1,007024509,98,35
NoMeta,TSCD 1,007076375,43,15
NoMeta,TSCD 1,007212145,87,28
NoMeta,TSCD 1,007232498,43,19
NoMeta,TSCD 1,007278080,102,42
NoMeta,TSCD 1,007300765,61,20
NoMeta,TSCD 1,007471801,40,13
NoMeta,TSCD 1,007514324,71,21
NoMeta,TSCD 1,007585865,74,23
NoMeta,TSCD 1,007671565,76,33
NoMeta,TSCD 1,007756420,69,23
NoMeta,TSCD 1,007780102,60,24
NoMeta,TSCD 1,007784450,81,28
NoMeta,TSCD 1,007896150,84,19
NoMeta,TSCD 1,007991912,105,45
NoMeta,TSCD 1,007993799,70,26
NoMeta,TSCD 1,008006953,97,28
NoMeta,TSCD 1,008015461,60,27
NoMeta,TSCD 1,008042486,49,18
NoMeta,TSCD 1,008111392,34,19
NoMeta,TSCD 1,008147953,50,21
NoMeta,TSCD 1,008166157,32,15
NoMeta,TSCD 1,008231831,48,17
NoMeta,TSCD 1,008398120,91,27
NoMeta,TSCD 1,008412787,65,24
NoMeta,TSCD 1,008458832,79,23
NoMeta,TSCD 1,008603606,88,36
NoMeta,TSCD 1,008656441,95,23
NoMeta,TSCD 1,008760843,60,23
NoMeta,TSCD 1,008839143,63,20
NoMeta,TSCD 1,008850284,50,19
NoMeta,TSCD 1,008872583,78,39
NoMeta,TSCD 1,008912015,62,22
NoMeta,TSCD 1,008988794,30,12
NoMeta,TSCD 1,009039207,40,15
NoMeta,TSCD 1,009055777,62,21
NoMeta,TSCD 1,009129122,64,21
NoMeta,TSCD 1,009304015,52,20
NoMeta,TSCD 1,009320676,89,27
NoMeta,TSCD 1,009399980,46,23
NoMeta,TSCD 1,009469504,43,16
NoMeta,TSCD 1,009481802,90,29
NoMeta,TSCD 1,009501115,34,18
NoMeta,TSCD 1,009530324,76,31
NoMeta,TSCD 1,009539313,70,22
NoMeta,TSCD 1,009555605,33,9
NoMeta,TSCD 1,009771379,112,48
NoMeta,TSCD 1,009774483,61,24
NoMeta,TSCD 1.5,001000833,98,35
NoMeta,TSCD 1.5,001018437,79,27
NoMeta,TSCD 1.5,001082916,69,26
NoMeta,TSCD 1.5,001282585,72,30
NoMeta,TSCD 1.5,001320604,68,22
NoMeta,TSCD 1.5,001416770,35,17
NoMeta,TSCD 1.5,001544104,57,24
NoMeta,TSCD 1.5,001593463,90,29
NoMeta,TSCD 1.5,001722118,41,15
NoMeta,TSCD 1.5,001782394,81,28
NoMeta,TSCD 1.5,001863052,82,24
NoMeta,TSCD 1.5,002003262,82,24
NoMeta,TSCD 1.5,002039574,81,32
NoMeta,TSCD 1.5,002051969,19,8
NoMeta,TSCD 1.5,002079350,40,19
NoMeta,TSCD 1.5,002121102,37,13
NoMeta,TSCD 1.5,002222437,69,28
NoMeta,TSCD 1.5,002242917,65,31
NoMeta,TSCD 1.5,002335619,93,24
NoMeta,TSCD 1.5,002345590,48,22
NoMeta,TSCD 1.5,002367184,63,26
NoMeta,TSCD 1.5,002433679,81,27
NoMeta,TSCD 1.5,002440304,65,29
NoMeta,TSCD 1.5,002480472,98,31
NoMeta,TSCD 1.5,002633958,29,17
NoMeta,TSCD 1.5,002642553,66,21
NoMeta,TSCD 1.5,002721208,120,72
NoMeta,TSCD 1.5,002774969,98,37
NoMeta,TSCD 1.5,002792834,72,27
NoMeta,TSCD 1.5,002817526,45,20
NoMeta,TSCD 1.5,002867953,40,12
NoMeta,TSCD 1.5,002882594,69,18
NoMeta,TSCD 1.5,002928475,79,30
NoMeta,TSCD 1.5,002961505,84,41
NoMeta,TSCD 1.5,002971874,70,28
NoMeta,TSCD 1.5,002976873,33,10
NoMeta,TSCD 1.5,002988708,24,10
NoMeta,TSCD 1.5,003023519,80,19
NoMeta,TSCD 1.5,003034960,70,23
NoMeta,TSCD 1.5,003100313,91,31
NoMeta,TSCD 1.5,003105904,72,22
NoMeta,TSCD 1.5,003117374,87,26
NoMeta,TSCD 1.5,003171807,77,24
NoMeta,TSCD 1.5,003284067,72,31
NoMeta,TSCD 1.5,003357723,57,21
NoMeta,TSCD 1.5,003411715,55,24
NoMeta,TSCD 1.5,003471078,76,33
NoMeta,TSCD 1.5,003522924,71,27
NoMeta,TSCD 1.5,003544634,65,20
NoMeta,TSCD 1.5,003588128,21,8
NoMeta,TSCD 1.5,003619392,74,29
NoMeta,TSCD 1.5,003662992,65,22
NoMeta,TSCD 1.5,003705871,84,26
NoMeta,TSCD 1.5,003730368,66,21
NoMeta,TSCD 1.5,003897137,62,24
NoMeta,TSCD 1.5,003964199,65,22
NoMeta,TSCD 1.5,003994784,70,33
NoMeta,TSCD 1.5,004035421,72,26
NoMeta,TSCD 1.5,004071037,50,28
NoMeta,TSCD 1.5,004279963,84,29
NoMeta,TSCD 1.5,004382413,61,23
NoMeta,TSCD 1.5,004383842,114,45
NoMeta,TSCD 1.5,004578825,79,33
NoMeta,TSCD 1.5,004673817,95,41
NoMeta,TSCD 1.5,004739990,97,31
NoMeta,TSCD 1.5,004771986,50,21
NoMeta,TSCD 1.5,004786749,70,19
NoMeta,TSCD 1.5,004801460,37,14
NoMeta,TSCD 1.5,004977537,91,30
NoMeta,TSCD 1.5,005036851,35,16
NoMeta,TSCD 1.5,005107952,84,29
NoMeta,TSCD 1.5,005116728,71,16
NoMeta,TSCD 1.5,005164155,33,15
NoMeta,TSCD 1.5,005254964,45,8
NoMeta,TSCD 1.5,005280034,63,29
NoMeta,TSCD 1.5,005315054,82,20
NoMeta,TSCD 1.5,005420204,69,15
NoMeta,TSCD 1.5,005463359,32,11
NoMeta,TSCD 1.5,005536384,76,26
NoMeta,TSCD 1.5,005669396,91,29
NoMeta,TSCD 1.5,005745653,30,14
NoMeta,TSCD 1.5,005828436,35,19
NoMeta,TSCD 1.5,006018298,76,33
NoMeta,TSCD 1.5,006081651,60,24
NoMeta,TSCD 1.5,006092198,82,33
NoMeta,TSCD 1.5,006189085,71,21
NoMeta,TSCD 1.5,006249166,20,9
NoMeta,TSCD 1.5,006315583,57,22
NoMeta,TSCD 1.5,006413433,58,24
NoMeta,TSCD 1.5,006431503,46,20
NoMeta,TSCD 1.5,006443880,80,23
NoMeta,TSCD 1.5,006457017,69,25
NoMeta,TSCD 1.5,006508324,42,21
NoMeta,TSCD 1.5,006512375,66,27
NoMeta,TSCD 1.5,006528942,100,38
NoMeta,TSCD 1.5,006599465,82,30
NoMeta,TSCD 1.5,006733269,88,26
NoMeta,TSCD 1.5,006767147,79,34
