model,condition,category,n,correct,accuracy,valid_rate,a_count,a_rate,always_a,rescue,damage,excess_ci,n_yes,n_no,tpr,fpr
NoMeta,TSCD 1,All mcq,6000,1499,0.24983333333333332,0.9998333333333334,5910,0.985,0.24566666666666667,42,17,"[0.001740916787333562, 0.006686444251570058]",,,,
NoMeta,TSCD 0.5,object_existence,2000,922,0.461,1.0,,,,,,,,,,
NoMeta,TSCD 0.5,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
NoMeta,TSCD 0.5,ego_relative_spatial,2000,720,0.36,0.9995,,,,,,,,,,
NoMeta,TSCD 0.5,motion_action,2000,1054,0.527,1.0,,,,,,,1000,1000,0.211,0.157
NoMeta,TSCD 0.5,distance_depth,2000,489,0.2445,1.0,1981,0.9905,0.243,8,5,"[-0.0020130850528434826, 0.005078849260642137]",,,,
NoMeta,TSCD 0.5,Overall,10000,3668,0.3668,0.9999,,,,,,,,,,
NoMeta,TSCD 0.5,All binary,4000,2169,0.54225,1.0,,,,,,,2000,2000,0.404,0.3195
NoMeta,TSCD 0.5,All mcq,6000,1499,0.24983333333333332,0.9998333333333334,5911,0.9851666666666666,0.24566666666666667,42,17,"[0.0018083182640144665, 0.006678167998901668]",,,,
Meta,TSCD 0.5,object_existence,2000,933,0.4665,1.0,,,,,,,,,,
Meta,TSCD 0.5,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
Meta,TSCD 0.5,ego_relative_spatial,2000,721,0.3605,0.9965,,,,,,,,,,
Meta,TSCD 0.5,motion_action,2000,1010,0.505,1.0,,,,,,,1000,1000,0.145,0.135
Meta,TSCD 0.5,distance_depth,2000,489,0.2445,1.0,1969,0.9845,0.243,12,9,"[-0.003388519008765171, 0.0066056910569105695]",,,,
Meta,TSCD 0.5,Overall,10000,3636,0.3636,0.9993,,,,,,,,,,
Meta,TSCD 0.5,All binary,4000,2129,0.53225,1.0,,,,,,,2000,2000,0.338,0.2735
Meta,TSCD 0.5,All mcq,6000,1507,0.25116666666666665,0.9988333333333334,5786,0.9643333333333334,0.24566666666666667,80,47,"[0.001513858118835345, 0.009526975377495271]",,,,
NoMeta,TSCD 1.5,object_existence,2000,923,0.4615,1.0,,,,,,,,,,
NoMeta,TSCD 1.5,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
NoMeta,TSCD 1.5,ego_relative_spatial,2000,720,0.36,0.9995,,,,,,,,,,
NoMeta,TSCD 1.5,motion_action,2000,1051,0.5255,1.0,,,,,,,1000,1000,0.208,0.157
NoMeta,TSCD 1.5,distance_depth,2000,491,0.2455,1.0,1978,0.989,0.243,10,5,"[-0.001519756838905775, 0.006986039565024585]",,,,
NoMeta,TSCD 1.5,Overall,10000,3668,0.3668,0.9999,,,,,,,,,,
NoMeta,TSCD 1.5,All binary,4000,2167,0.54175,1.0,,,,,,,2000,2000,0.401,0.3175
NoMeta,TSCD 1.5,All mcq,6000,1501,0.25016666666666665,0.9998333333333334,5910,0.985,0.24566666666666667,43,16,"[0.0020456347528964307, 0.007082467384848526]",,,,
Meta,TSCD 1.5,object_existence,2000,936,0.468,1.0,,,,,,,,,,
Meta,TSCD 1.5,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
Meta,TSCD 1.5,ego_relative_spatial,2000,725,0.3625,0.9965,,,,,,,,,,
Meta,TSCD 1.5,motion_action,2000,1007,0.5035,1.0,,,,,,,1000,1000,0.143,0.136
Meta,TSCD 1.5,distance_depth,2000,489,0.2445,1.0,1969,0.9845,0.243,12,9,"[-0.003388519008765171, 0.0066056910569105695]",,,,
Meta,TSCD 1.5,Overall,10000,3640,0.364,0.9993,,,,,,,,,,
Meta,TSCD 1.5,All binary,4000,2133,0.53325,1.0,,,,,,,2000,2000,0.3395,0.273
Meta,TSCD 1.5,All mcq,6000,1507,0.25116666666666665,0.9988333333333334,5785,0.9641666666666666,0.24566666666666667,80,47,"[0.0014483249801630434, 0.009645807614218871]",,,,
Meta,TSCD 1,object_existence,2000,934,0.467,1.0,,,,,,,,,,
Meta,TSCD 1,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
Meta,TSCD 1,ego_relative_spatial,2000,724,0.362,0.9965,,,,,,,,,,
Meta,TSCD 1,motion_action,2000,1009,0.5045,1.0,,,,,,,1000,1000,0.144,0.135
Meta,TSCD 1,distance_depth,2000,489,0.2445,1.0,1969,0.9845,0.243,12,9,"[-0.003388519008765171, 0.0066056910569105695]",,,,
Meta,TSCD 1,Overall,10000,3639,0.3639,0.9993,,,,,,,,,,
Meta,TSCD 1,All binary,4000,2133,0.53325,1.0,,,,,,,2000,2000,0.339,0.2725
Meta,TSCD 1,All mcq,6000,1506,0.251,0.9988333333333334,5784,0.964,0.24566666666666667,80,48,"[0.001342484618114216, 0.009388212616782783]",,,,
