model,condition,action,n,correct,accuracy,valid_rate,n_yes,n_no,tpr,fpr
Meta,TSCD 0.5,moves farther away from the ego vehicle,488,170,0.3483606557377049,1.0,347,141,0.09510086455331412,0.028368794326241134
Meta,TSCD 0.5,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
Meta,TSCD 0.5,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
NoMeta,TSCD 1.5,becomes closer to the ego vehicle,415,197,0.4746987951807229,1.0,206,209,0.05825242718446602,0.11483253588516747
NoMeta,TSCD 1.5,maintains a similar relative position,375,217,0.5786666666666667,1.0,145,230,0.5655172413793104,0.41304347826086957
NoMeta,TSCD 1.5,moves farther away from the ego vehicle,488,217,0.444672131147541,1.0,347,141,0.3285302593659942,0.2695035460992908
NoMeta,TSCD 1.5,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
NoMeta,TSCD 1.5,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
Meta,TSCD 1.5,becomes closer to the ego vehicle,415,188,0.4530120481927711,1.0,206,209,0.08737864077669903,0.18660287081339713
Meta,TSCD 1.5,maintains a similar relative position,375,230,0.6133333333333333,1.0,145,230,0.6413793103448275,0.4043478260869565
Meta,TSCD 1.5,moves farther away from the ego vehicle,488,169,0.3463114754098361,1.0,347,141,0.09221902017291066,0.028368794326241134
Meta,TSCD 1.5,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
Meta,TSCD 1.5,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
Meta,TSCD 1,becomes closer to the ego vehicle,415,189,0.45542168674698796,1.0,206,209,0.09223300970873786,0.18660287081339713
Meta,TSCD 1,maintains a similar relative position,375,230,0.6133333333333333,1.0,145,230,0.6344827586206897,0.4
Meta,TSCD 1,moves farther away from the ego vehicle,488,170,0.3483606557377049,1.0,347,141,0.09510086455331412,0.028368794326241134
Meta,TSCD 1,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
Meta,TSCD 1,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
