n,delta,flip_rate,repaired,regressed,stable_wrong,stable_wrong_rate,model,condition,category,ci_low,ci_high
2000,0.001,0.0185,15,13,1258,0.629,NoMeta,TSCD 1.5,ego_relative_spatial,-0.003565970453387672,0.005639097744360902
2000,0.0015,0.0715,73,70,879,0.4395,NoMeta,TSCD 1.5,motion_action,-0.009764026012860687,0.012917731349937116
2000,0.0025,0.006,7,2,1504,0.752,NoMeta,TSCD 1.5,distance_depth,0.0,0.005799903334944417
10000,0.0003,0.0248,119,116,6203,0.6203,NoMeta,TSCD 1.5,Overall,-0.002658016706651036,0.0032921206864307477
6000,0.0006666666666666666,0.006166666666666667,14,10,4476,0.746,NoMeta,TSCD 1.5,All MCQ,-0.0007995492347608036,0.0021506177985848337
4000,-0.00025,0.05275,105,106,1727,0.43175,NoMeta,TSCD 1.5,All binary,-0.007241037642145248,0.006716653817273596
2000,-0.0085,0.0185,10,27,1055,0.5275,Meta,Prompt,object_existence,-0.014162978058122735,-0.0025746321660633942
2000,0.0,0.0,0,0,1517,0.7585,Meta,Prompt,temporal_grounding,0.0,0.0
2000,-0.0155,0.0815,21,52,1174,0.587,Meta,Prompt,ego_relative_spatial,-0.02390066883517555,-0.007256537399096141
2000,-0.0035,0.0165,13,20,987,0.4935,Meta,Prompt,motion_action,-0.008862957006633861,0.0019980269605457007
2000,-0.006,0.0475,6,18,1435,0.7175,Meta,Prompt,distance_depth,-0.013294271468434435,-0.00047595251044325307
10000,-0.0067,0.0328,50,117,6168,0.6168,Meta,Prompt,Overall,-0.009319636783954402,-0.004090979394414491
6000,-0.0095,0.04066666666666666,13,70,4322,0.7203333333333334,Meta,Prompt,All MCQ,-0.012923813671402037,-0.006229978830795467
4000,-0.0025,0.021,37,47,1846,0.4615,Meta,Prompt,All binary,-0.006940918654619416,0.0019753208382499565
2000,-0.001,0.038,37,39,1028,0.514,Meta,TSCD .5,object_existence,-0.010050504029200328,0.007704420271228041
2000,0.0,0.0,0,0,1517,0.7585,Meta,TSCD .5,temporal_grounding,0.0,0.0
2000,0.003,0.063,60,54,1213,0.6065,Meta,TSCD .5,ego_relative_spatial,-0.007948434578816223,0.01417004048582996
2000,0.005,0.056,61,51,939,0.4695,Meta,TSCD .5,motion_action,-0.005670103092783505,0.015311510031678986
2000,0.0005,0.0035,3,2,1507,0.7535,Meta,TSCD .5,distance_depth,-0.0015504277000445144,0.0026511486283124852
10000,0.0015,0.0321,161,146,6204,0.6204,Meta,TSCD .5,Overall,-0.0022353293831150057,0.0051862625582952656
6000,0.0005,0.006833333333333334,15,12,4467,0.7445,Meta,TSCD .5,All MCQ,-0.0012823111099200543,0.00237894970040976
4000,0.003,0.07,146,134,1737,0.43425,Meta,TSCD .5,All binary,-0.006125574272588055,0.011893202200176608
2000,-0.0005,0.0365,36,37,1029,0.5145,Meta,TSCD 1,object_existence,-0.009128069548962043,0.007920792079207921
2000,0.0,0.0,0,0,1517,0.7585,Meta,TSCD 1,temporal_grounding,0.0,0.0
2000,0.0045,0.065,63,54,1209,0.6045,Meta,TSCD 1,ego_relative_spatial,-0.006404415487061664,0.015617325251889167
2000,0.0045,0.0545,59,50,941,0.4705,Meta,TSCD 1,motion_action,-0.005965488544499859,0.014734955083678067
2000,0.0005,0.0035,3,2,1507,0.7535,Meta,TSCD 1,distance_depth,-0.0015504277000445144,0.0026511486283124852
10000,0.0018,0.0319,161,143,6203,0.6203,Meta,TSCD 1,Overall,-0.0019069078113655167,0.005357317854932356
6000,0.0003333333333333333,0.0075,16,14,4465,0.7441666666666666,Meta,TSCD 1,All MCQ,-0.0015020214797444626,0.0021881930169676336
4000,0.004,0.0685,145,129,1738,0.4345,Meta,TSCD 1,All binary,-0.005004098030873883,0.012817572049758206
2000,0.0005,0.0365,37,36,1028,0.514,Meta,TSCD 1.5,object_existence,-0.00850850850850851,0.009557464312801823
2000,0.0,0.0,0,0,1517,0.7585,Meta,TSCD 1.5,temporal_grounding,0.0,0.0
2000,0.005,0.0655,64,54,1208,0.604,Meta,TSCD 1.5,ego_relative_spatial,-0.006292734003972733,0.01625645225917458
2000,0.0035,0.0535,57,50,943,0.4715,Meta,TSCD 1.5,motion_action,-0.007057661164173061,0.013615023474178404
2000,0.0005,0.0035,3,2,1507,0.7535,Meta,TSCD 1.5,distance_depth,-0.0015504277000445144,0.0026511486283124852
10000,0.0019,0.0318,161,142,6203,0.6203,Meta,TSCD 1.5,Overall,-0.0019161290392837019,0.005532753990515246
6000,0.0005,0.007333333333333333,16,13,4465,0.7441666666666666,Meta,TSCD 1.5,All MCQ,-0.0013369039819595807,0.002322947897253058
4000,0.004,0.0685,145,129,1738,0.4345,Meta,TSCD 1.5,All binary,-0.005264601906740543,0.013102710162178954
